id,name,rate,rate2010,earnings,num,population,,,
53011,Clark,1173,1736,5792447,523,265553,,,
39023,Clark,628,929,2313008,524,195718,,,
18019,Clark,574,850,1832726,525,110061,,,
21049,Clark,783,1159,557399,526,30690,,,
55019,Clark,1830,2708,383034,527,51999,,,
5019,Clark,312,462,344684,528,25766,,,
17023,Clark,600,888,185392,529,16020,,,
46025,Clark,546,808,62259,530,5032,,,
29045,Clark,529,783,47213,531,2321,,,
20025,Clark,194,287,27853,532,4331,,,
16033,Clark,52,77,23213,533,2529,,,
13059,Clarke,54,80,2515695,534,84956,,,
1025,Clarke,196,290,348242,535,27073,,,
51043,Clarke,260,385,170465,536,16166,,,
19039,Clarke,606,897,163541,537,13774,,,
28023,Clarke,292,432,153232,538,16108,,,
41007,Clatsop,210,311,601113,539,51369,,,
29047,Clay,576,852,4123805,540,294709,,,
12019,Clay,182,269,1302760,541,59617,,,
27027,Clay,691,1023,601543,542,19833,,,
19041,Clay,620,918,349376,543,40749,,,
28025,Clay,314,465,316442,544,24707,,,
18021,Clay,499,739,258892,545,21092,,,
17025,Clay,601,889,227801,546,15553,,,
46027,Clay,376,556,220188,547,21854,,,
5021,Clay,492,728,177884,548,33259,,,
1027,Clay,341,505,165969,549,14854,,,
21051,Clay,457,676,160753,550,19459,,,
31035,Clay,486,719,111708,551,11755,,,
20027,Clay,534,790,109717,552,11449,,,
48077,Clay,680,1006,104486,553,16218,,,
54015,Clay,88,130,89534,554,8607,,,
47027,Clay,452,669,74468,555,5866,,,
37043,Clay,146,216,66182,556,4027,,,
13061,Clay,39,58,26899,557,2173,,,
13063,Clayton,48,71,5877407,558,387853,,,
19043,Clayton,1287,1905,263952,559,26675,,,
8019,Clear Creek,10,15,138841,560,15732,,,
42033,Clearfield,305,451,1156298,561,57850,,,
16035,Clearwater,186,275,117110,562,10142,,,
27029,Clearwater,533,789,111474,563,19818,,,
5023,Cleburne,607,898,249107,564,35637,,,
1029,Cleburne,316,468,137201,565,15808,,,
39025,Clermont,721,1067,2407320,566,128009,,,
40027,Cleveland,777,1150,2375686,567,148378,,,
37045,Cleveland,639,946,1325422,568,34492,,,
5025,Cleveland,194,287,55265,569,4536,,,
51560,Clifton Forge,0,0,0,570,6333,,,
13065,Clinch,81,120,77559,571,5791,,,
36019,Clinton,399,591,1397627,572,70196,,,
39027,Clinton,632,935,1023475,573,61684,,,
19045,Clinton,1157,1712,836446,574,56593,,,
26037,Clinton,1053,1558,661806,575,63955,,,
42035,Clinton,224,332,498926,576,37807,,,
18023,Clinton,520,770,445897,577,32881,,,
17027,Clinton,811,1200,440134,578,31476,,,
29049,Clinton,630,932,149964,579,20540,,,
21053,Clinton,639,946,106067,580,8846,,,
20029,Cloud,525,777,108591,581,10419,,,
28027,Coahoma,122,181,386915,582,38427,,,
40029,Coal,489,724,38340,583,1534,,,
13067,Cobb,120,178,17616910,584,626934,,,
